pdf_page,chars,preview
1,672,"釋字第七０九號解釋部分協同部分不同意見書 大法官 羅昌發 都市更新制度對於國家發展與社會進步，均有重要意 義；其立法設計，納入民間主導及政府監督與協力之機制， 實施迄今，確有成功案例；然因制度欠周，致民間辦理都市 更新產生爭議並受社會矚目之事例，亦屢見不鮮。此等爭議 反映都市更新"
2,669,"標準；以及有關正當程序之具體內涵是否應包括「衝擊評估 報告」及「替代方案」之審查等，亦持相異見解。爰提出本 部分協同部分不同意見書。 壹、本號解釋應表明其所列憲法原則，僅適用於「重建」及 「改建」方式之都市更新 一、本條例第四條規定：「都市更新處理方式，分為下列三 種︰一、重建︰"
3,680,"權亦易產生直接衝擊。 二、憲法就人民財產權及適足居住權之保障，適用於不同之 都市更新方式，自應有不同程度之要求。如都市更新之 方式僅涉及建築物之「維護」（例如建築物外牆之「拉 皮」），在個案情形雖亦可能涉及「公益之達成」及「影 響更新單元所有人之財產權」，然在多數情形，其對公 益"
4,642,"之高標準之正當程序，顯有疑問。又例如以「維護」為 手段之都市更新 ， 是否應有本條例第二十二條所要求五 分之三、三分之二或四分之三等高比率之同意門檻等， 亦顯有討論空間。 貳、「更新單元」之劃定為都市更新程序之核心元素，實應 納入解釋範圍 一、依本條例第三條第三款之規定，都市更新"
5,609,"其基本原則設有明確之規範。 三、另本條例施行細則第五條雖規定：「更新單元之劃定， 應考量原有社會、經濟關係及人文特色之維繫、整體再 發展目標之促進、更新處理方式之一致性、公共設施負 擔之公平性及土地權利整合之易行性等因素。」 然此影 響人民權益極為重大之事項 ， 並非僅屬細節或技"
6,670,"五、本件聲請人雖未針對本條例施行細則第五條更新單元劃 定規定，提出釋憲聲請，然由於更新單元之劃定與更新 事業概要及更新事業計畫有直接且密切之關係 ， 而更新 事業概要及更新事業計畫兩者既已為本院解釋之對 象，本院自得以實質關聯之理由，將本條例施行細則第 五條納入審查，並宣告其違憲"
7,633,"意。蓋被劃入都市更新單元範圍內之所有權人，縱不 同意以「重建」為手段之都市更新，其房屋最終仍可 能遭拆除重建，並因而使其喪失原有房屋之所有權。 如其不同意更新事業計畫及後續之權利變換條件 者，則其土地及房屋有可能遭「價購」。此可參見本 條例第二十五條之一所規定：「以協議合建方式實"
8,1051,"國際人權公約中，最直接密切相關者為適足居住權， 甚至可包括家庭權不受侵犯之權。 （二）世界人權宣言第十二條規定：「任何人之私生活、家 庭、住宅與通信不得任意干涉；其榮譽與名譽不得加 以攻擊。人有權享受法律保護，以免受此種干涉或 攻擊。」（ None shal be subj ec"
9,967,"當的生活水準，包括足夠的食物、衣著與住房，並能 不斷改進生活條件。各締約國將採取適當之步驟保證 實現此一權利，並承認為此而實行基於自願同意的國 際合作的重要性。」（ The States Parties to the present Covenant recognize the "
10,904,"強迫驅離、騷擾及其他威脅（ al personshould poses a degre of security of tenure which guarantes legal protection against forced eviction, harasment and ot"
11,960,"control strictly the ci rcumstances under which evictions may be caried out ）。 5. 適當的法律程序上保護與正當的法律程序為所有 人權所不可或缺的要素 ； 在強迫驅離問題上尤為重 該一般意見第 15 段"
12,1175,"persons prior to the scheduledate of eviction; (c) information the proposed evictions, and, where aplicable, on the altern ative purpose for"
13,636,"失所有權（或有喪失所有權之虞），且最終將（或可 能）遭到驅離其家園。其情形符合前揭國際公約及相 關國際文件所稱之以「發展」為理由或基礎所導致之 驅離及遷離家園。其所涉及最核心的基本權利應為適 足生活條件權之下的適足居住權。此在我國憲法體系 下，應屬第十五條生存權範圍。然多數意見認"
14,689,"（九）憲法第十五條規定，人民之生存權應予保障。以文義 觀之，生存權之概念自應包括維持生存之適當生活條 件；亦即包括前揭國際公約所稱適足生活條件之權 （ the righto an adequate standard of living ）。 而依前揭 公約及相關文件之規定，適足居"
